
=== 01_schema.sql  (16 statements) ===
  [ok] 08_indexes_optimization.sql#22         1 row(s)
  [ok] 08_indexes_optimization.sql#23        10 row(s)
  [ok] 08_indexes_optimization.sql#24        10 row(s)
  [ok] 08_indexes_optimization.sql#25         1 row(s)
  [ok] 08_indexes_optimization.sql#26         1 row(s)
  [ok] 08_indexes_optimization.sql#27        10 row(s)
  [ok] 08_indexes_optimization.sql#28        10 row(s)
  [ok] 08_indexes_optimization.sql#29         1 row(s)
  [ok] 08_indexes_optimization.sql#30         1 row(s)
  [ok] 08_indexes_optimization.sql#31         9 row(s)
  -- 08_indexes_optimization.sql finished in 0.06s

=== 09_business_reports.sql  (13 statements) ===
  [ok] r01_executive_kpis                     1 row(s)
  [ok] r02_monthly_trend                     32 row(s)
  [ok] r03_category_scorecard                 6 row(s)
  [ok] r04_top_products                      15 row(s)
  [ok] r05_underperforming_stock              4 row(s)
  [ok] r06_customer_segments                  4 row(s)
  [ok] r07_top_customers                     20 row(s)
  [ok] r08_city_performance                  18 row(s)
  [ok] r09_channel_performance                4 row(s)
  [ok] r10_payment_reconciliation            32 row(s)
  [ok] r11_loss_analysis                      6 row(s)
  [ok] r12_recent_90_days                     1 row(s)
  [ok] r13_reorder_alert                     41 row(s)
  -- 09_business_reports.sql finished in 0.19s
